"TÍTULO","TIPO","NÚMERO OFICIAL","EXERCÍCIO","ORGÃO","VALOR (R$)","SITUAÇÃO","INÍCIO","FIM"
"2924 - CT - UFC/FCPC - IMPLANTACAO E OFERTA DOS CURSOS DE GRADUACAO DA UAB/UFC 2012","CONTRATO","P.22088/12-77","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","12.260.840,80","EXECUÇÃO","16/11/2012","31/12/2017"
"2930 - CT - UFC/FCPC - ATENDIMENTO EDUCACIONAL ESPECIALIZADO - AEE","CONTRATO","P.25040/2012-57","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","2.779.804,92","EXECUÇÃO","19/11/2012","30/03/2017"
"2946 - CT - UFC/FCPC CURSO DE ESPECIALIZAÇÃO EM DOCÊNCIA NA EDUCAÇÃO INFANTIL","CONTRATO","P.26792/2012-16","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","691.561,20","EXECUÇÃO","24/11/2012","24/11/2017"
"2978 - CT - UFC/FCPC - LACT - LABORATOIRO DE ANALISES CLINICAS E TOXICOLOGICAS","CONTRATO","P.10730/2013-92","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","199.294,10","EXECUÇÃO","10/06/2013","01/06/2017"
"2994 - CV - UFC/FCPC CURSO DE ESPECIALIZAÇÃO EM COORDENAÇÃO PEDAGÓGOCA","CONVÊNIO","P12519/13-31","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","524.627,50","EXECUÇÃO","30/09/2013","06/02/2017"
"3000 - TC -  PETROBRAS/FCPC-REVESTIMENTO DE SOLDAGEM","TERMO DE COOPERAÇÃO","0050.0085732.13.9","2015","PETROLEO BRASILEIRO S/A PETROBRAS","1.313.773,00","EXECUÇÃO","03/12/2013","01/12/2017"
"3009 - UFC/FCPC-PROGRAMA NACIONAL ESCOLA DE GESTORES DA EDUCAÇÃO BÁSICAS:CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESCOLAR","CONVÊNIO","CV. 788331/2013","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","455.337,00","FINALIZADO","03/12/2013","30/06/2016"
"3014 - CV - UFC/FCPC - FORMAÇÃO CONTINUADA DE DIRIGENTES MUNICIPAIS DE EDUCAÇÃO - PRADIME","CONVÊNIO","SICONV - 792177/2013","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","58.269,80","FINALIZADO","20/01/2014","30/10/2014"
"3017 - CT -  UFC/FCPC - SELEÇÃO DAS CASAS DE CULTURA 2014.1","CONTRATO","P24715/13-77","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC / DIVERSOS","248.750,85","FINALIZADO","02/01/2014","02/01/2014"
"3019 - CV.FINEP/UFC/FCPC-CT INFRA 13","CONVÊNIO","01.13.0337.00","2015","FINEP - FINANCIADORA DE ESTUDOS E PROJETOS","8.818.375,00","EXECUÇÃO","10/12/2013","10/12/2017"
"3020 - CT.UFC/FCPC-CAPACITAÇÃO EM ATENÇÃO A SAÚDE DA CRIANÇA","CONTRATO","P.24377/13-46","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","3.479.700,00","EXECUÇÃO","31/12/2013","31/10/2017"
"3022 - CT.UFC/FCPC - CURSO DE ESPECIALIZAÇÃO EM SAUDE DA FAMILIA","CONTRATO","P.22158/2013-31","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","8.830.589,70","EXECUÇÃO","31/12/2013","28/10/2017"
"3024 - CT - UFC/FCPC - CURSO DE RESIDENCIA MULTIPROFISSIONAL E EM AREA PROFISSIONAL DA SAUDE - RESMULT 2014","CONTRATO","P21555/13-96","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC / DIVERSOS","55.222,00","FINALIZADO","16/12/2013","16/12/2014"
"3028 - UFC/FCPC - GESTAO ESTRATEGICA E REGIONALIZACAO: FORTALECER A ARTICULAÇÃO INTERFEDERATIVA E PARTICIPAÇÃO NO SISTEMA UNICO DE SAUDE","CONTRATO","P21741/13-71","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","1.612.719,03","FINALIZADO","31/10/2013","31/10/2014"
"3031 - CURSO DE FORMAÇÃO ALUNO INTEGRADO DA SECRETAIA DE EDUCAÇÃO BASICA (SEB/MEC)","CONVÊNIO","SICONV 792192/2013","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","239.990,24","FINALIZADO","02/01/2014","30/06/2014"
"3057 - PETROBRAS/FCPC -  SERVIÇOS DE ELABORAÇÃO DE ESTUDO PARA LICENCIAMENTO AMBIENTAL DAS INSTALAÇÕES DE EXTRA MUROS DA REFINARIA PREMIUM II","CONTRATO","6000.0088249.14.2","2014","PETROLEO BRASILEIRO S/A PETROBRAS","1.165.803,30","FINALIZADO","31/01/2014","19/12/2014"
"3060 - CV. FINEP/FCPC/POLIBRAS - POLIVOICE","CONVÊNIO","01.14.0068.00","2015","FINEP - FINANCIADORA DE ESTUDOS E PROJETOS","925.799,90","EXECUÇÃO","20/03/2014","20/09/2017"
"3063 - CT - UFC/FCPC - CONCURSO PARA ASSISTENTE ADMINISTRATIVO DA UFC","CONTRATO","4456/14-49","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC / DIVERSOS","642.769,12","FINALIZADO","04/04/2014","15/10/2014"
"3065 - CV - FINEP/FCPC - AQUASENSE","CONVÊNIO","01.14.0114.00","2014","FINEP - FINANCIADORA DE ESTUDOS E PROJETOS","673.155,40","EXECUÇÃO","01/01/2014","08/05/2017"
"3066 - UFCA/FCPC - CONCURSO PUBLICO PARA PREENCHIMENTO DE VAGAS PARA CARGOS TECNICO-ADMINISTRATIVO DA UNIVERSIDADE FEDERAL DO CARIRI","CONTRATO","P. 7442/14-41","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC / DIVERSOS","266.224,00","FINALIZADO","06/05/2014","20/11/2014"
"3067 - IFCE/FCPC - EXPANSÃO DO NUCLEO DE INCLUSÃO E ACESSIBILIDADE VIRTUAL DO IFCE","CONTRATO","CT. 10/2014","2014","INSTITUTO FEDERAL DO CEARA - IFCE","100.000,00","FINALIZADO","31/01/2014","31/01/2015"
"3068 - IFCE/FCPC - CURSO POLEDUC - MESTRADO PROFISSIONAL EM POLITICAS E GESTÃO DA EDUCAÇÃO SUPERIOR","CONTRATO","CT.09/2014","2014","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ","210.240,00","FINALIZADO","31/01/2014","31/01/2015"
"3074 - UFC/FCPC - CASAS DE CULTURA 1º SEMESTRES E TESTE DE NIVEL","CONTRATO","P.10331/14-92","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC / DIVERSOS","276.785,50","FINALIZADO","24/06/2014","22/11/2014"
"3085 - UFC/FCPC - CURSO DE LICENCIATURA INTERCULTURAL INDIGENA DAS ETNIAS PITAGUARY, TAPEBA, KANINDÉ, JENIPAPO-KANINDÉ E ANACÉ – LII - PITAKAJÁ","CONTRATO","P.6127/14/88","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","78.883,20","EXECUÇÃO","05/09/2014","05/09/2016"
"3087 - CT - UFC/FCPC - MAPEAMENTO DAS PRÁTICAS CULTURAIS","CONTRATO","P.10424/2014-27","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","209.200,00","EXECUÇÃO","29/09/2014","29/12/2017"
"3090 - UFC/FCPC - THE NETWORK - ENCONTRO EDUCACIONAL INTERNACIONAL","CONTRATO","P17037/2014-10","2014","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","3.268.400,00","FINALIZADO","14/10/2014","14/10/2015"
"3094 - CT - FCPC/UFC FASE V DO PROGRAMA NACIONAL TELESSAUDE BRASIL REDES","CONTRATO","P.1820/2014-73","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","2.868.931,46","EXECUÇÃO","07/11/2014","24/02/2017"
"3098 - CT. FCPC/IPLANFOR - PLANO ESTRATÉGICO FORTALEZA 2040","CONTRATO","P1410112937123/2013","2014","PREFEITURA MUNICIPAL DE FORTALEZA","10.572.205,92","EXECUÇÃO","27/02/2014","27/07/2017"
"3110 - IFCE/FCPC - PRESTAÇÃO DE SERVIÇOS -APOIO AO ENSINO, PESQUISA E EXTENSÃO P/VIABILIZAR A PRODUÇÃO, EDITORAÇÃO E REVISÃO DO CONTEÚDO VOLTADO EAD NA ÁREA DE GESTÃO DE PROJETOS EM RECURSOS HIDRICOS","CONTRATO","CT. 94/2014","2014","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ","320.800,20","EXECUÇÃO","08/12/2014","07/12/2016"
"3111 - CT - SESA/FCPC - HORTO DE PLANAS MEDICINAS - FARMA","CONTRATO","1121/2014","2014","SECRETARIA DE SAÚDE DO ESTADO DO CEARÁ","980.654,40","FINALIZADO","28/08/2014","30/11/2017"
"3112 - UFC/FCPC -  SELEÇÃO PARA ACESSO AS CASAS DE CULTURA ESTRANGEIRA DA UFC, SEMESTRE I E TESTE DE NIVEL PARA OS DEMAIS SEMESTRES","CONTRATO","P-22820/2014-97","2014","BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL - BNDES","341.016,00","FINALIZADO","12/12/2014","03/07/2015"
"3146 - TC - PETROBRAS/UFC/FCPC-ONTOLOGIA DOS DADOS GEOLÓGICOS GERADOS EM POÇOS DE E&P","TERMO DE COOPERAÇÃO","0050.0096325.15.9","2015","PETROLEO BRASILEIRO S/A PETROBRAS","1.334.655,00","EXECUÇÃO","01/06/2015","26/11/2017"
"3172 -  CT.  UFC/FCPC NUFACE","CONTRATO","017983/2015-39","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","93.367,76","EXECUÇÃO","25/05/2016","31/03/2017"
"3174 - CT - UFC/FCPC-CURSO ESCOLA DA TERRA","CONTRATO","P.020597/2014-43","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","558.960,00","FINALIZADO","11/11/2015","21/11/2017"
"3175 -  CT.UFC/FCPC-CURSO DE ESPECIALIZAÇÃO EM EDUCAÇÃO,POBREZA E DESIGUALDADE SOCIAL","CONTRATO","P.20594/2014-18","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","854.592,50","EXECUÇÃO","11/11/2015","30/12/2017"
"3181 - CT. FCPC/UFC - APOIO A SEGURANÇA ALIMENTAR E NUTRICIONAL NO AMBIENTE E ESCOLAR","CONTRATO","P.19263/2015-16","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","180.995,90","EXECUÇÃO","23/11/2015","30/03/2017"
"3182 - CT. FCPC/UFC - CURSO DE EXTENSAO A DISTANCIA FORMACAO CONTINUADA EM CONSELHO ESCOLAR","CONTRATO","P.16658/2014-78","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","250.000,00","EXECUÇÃO","30/11/2015","30/11/2017"
"3183 - CT. FCPC/UFC - CURSO DE FORMAÇAO DE PROFESSORES DA SECADI/MEC","CONTRATO","P.20363/2014-04","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","675.620,00","EXECUÇÃO","11/11/2015","01/11/2017"
"3184 - CT. FCPC/UFC - CURSO DE FORMAÇÃO CONTINUADA DE PROFESSORES E COORDENADORES PEDAGOGICOS DO ENSINO MEDIO","CONTRATO","P.16660/2014-47","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","1.516.736,86","EXECUÇÃO","01/11/2015","31/10/2017"
"3186 - CT - FCPC/UFC - CURSO DE CAPACITAÇÃO PARA GESTORES PUBLICOS DE CULTURA","CONTRATO","P.20785/2015-52","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","230.000,00","EXECUÇÃO","04/12/2015","30/06/2017"
"3187 - CT - FCPC/UFC - CURSO PACTO NACIONAL PELA ALFABETIZAÇÃO NA IDADE CERTA","CONTRATO","P.19997/2015-97","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","1.619.636,00","EXECUÇÃO","04/12/2015","02/12/2017"
"3188 - CT - FCPC/UFC - MESTRADO PROFISSIONAL EM ECONOMIA DO SETOR PUBLICO","CONTRATO","P.17815/15-43","2015","UNIVERSIDADE FEDERAL DO CEARÁ - UFC / DIVERSOS","900.000,00","EXECUÇÃO","04/12/2015","31/12/2017"
"3192 - UNESCO/UFC/FCPC - SERVIÇOS DE CONSULTORIA - COMPORTAMENTO, ATITUDES PRATICAS E PREVALENCIA DE VIRUS DA IMUNODEFICIÊNCIA HUMANA (HIV), SIFILIS E HEPATITE B E C ENTRE HOMENS QUE FAZEM SEXO COM HOMENS","CONTRATO","ED01032/2015","2015","UNESCO - ORGANIZACAO DAS NACOES UNIDAS PRA A EDUCACAO","2.979.309,63","FINALIZADO","16/11/2015","16/11/2016"
"3193 - CARTA ACORDO OPAS/FCPC - SESSÕES PRESENCIAIS DE 2016","CARTA ACORDO","SCON2016-00177","2016","ORGANIZAÇÃO DOS ESTADOS IBERO-AMERICANOS PARA A EDUCAÇÃO A CIÊNCIA E A CULTURA","368.814,00","FINALIZADO","01/02/2016","01/08/2016"
"3194 -  CT. UFC/FCPC - FAIMER 2016","CONTRATO","P1047/2016-97","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","450.000,00","EXECUÇÃO","02/02/2016","02/02/2017"
"3196 - CT.UFC/FCPC-CASAS DE CULTURA UFC-TESTE DE NIVEL 2016.1","CONTRATO","P.2296/2016-08","2016","OUTROS","373.176,00","FINALIZADO","18/02/2016","20/06/2016"
"3208 - CT. UFC/FCPC - I SIMPOSIO DE GESTÃO DO ESPORTE EM UNIDADES ESPORTIVAS","CONTRATO","9679/2016-07","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","155.280,56","FINALIZADO","11/05/2016","23/08/2016"
"3213 - CT. UFC/FCPC - CONCURSO PUBLICO P/ SELEÇÃO DE SERVIDORES TÉCNICO-ADMINISTRATIVO","CONTRATO","P. 010328/2016-31","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC / DIVERSOS","575.741,00","EXECUÇÃO","08/06/2016","30/01/2017"
"3218 - CT. UFC/FCPC - SELEÇÃO CASAS DE CULTURA 2016.2","CONTRATO","P.015618/2016-71","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","373.828,00","FINALIZADO","04/08/2016","25/11/2016"
"3222 - CT. UFC/FCPC - CONCURSO PUBLICO P/SELEÇÃO DE SERVIDORES","CONTRATO","P.018218/2016-17","2016","OUTROS","835.511,31","EXECUÇÃO","25/08/2016","30/03/2017"
"3227 -  CT. UFC/FCPC - RESMULT 2016","CONTRATO","P.023095/2015-55","2016","OUTROS","151.823,79","EXECUÇÃO","13/10/2016","12/10/2017"
"3228 - CT. UFC/FCPC - V FLAEL","CONTRATO","P.020606/2016-68","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC / DIVERSOS","56.000,00","FINALIZADO","14/10/2016","31/12/2016"
"3231 - CT. UFC/FCPC -  CURSO DE LII PITAKAJA","CONTRATO","P.017274/2016-34","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","35.526,72","FINALIZADO","04/10/2016","31/12/2016"
"3237 - CT - GOV.PIAUÍ/FCPC- CONSULTORIA PROJETO VLT TERESINA","CONTRATO","","2017","SECRETARIA DE DESENVOLVIMENTO ECONÔMICO E TECNOLÓGICO – SEDET – GOVERNO DO ESTADO DO PIAUÍ","2.850.000,00","EXECUÇÃO","08/12/2016","08/12/2017"
"3239 - CT - UFC/FCPC - PARFOR","CONTRATO","P. 023648/2016-51","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","111.052,20","EXECUÇÃO","29/11/2016","30/03/2017"
"3240 - CT. UFC/FCPC - FAIMER 2017","CONTRATO","024458/2016-51","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","787.884,70","EXECUÇÃO","14/12/2016","14/12/2017"
"3241 - CT.EMBRAPA/FCPC - ACESSO A RENP","CONTRATO","","2016","EMBRAPA AGROINDÚSTRIA TROPICAL","36.000,00","EXECUÇÃO","13/10/2016","13/10/2017"
"3244 - CT. UFC/FCPC-PNAIC","CONTRATO","024253/2016-76","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","1.028.170,00","EXECUÇÃO","23/12/2016","30/04/2017"
"3257 - CT. IFCE/FCPC/REPOSITORIO DE OBJETOS EDUCAINAIS PARA REDE EPT - PROEDU","CONTRATO","","2017","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","814.940,00","EXECUÇÃO","11/01/2017","11/01/2018"
"3258 - CV.DPM/IFCE/FCPC-CONTRAPARTIDA – EMBRAPII - ANEMOMETRO ULTRASSONICO ESPECIALIZADO PARA SISTEMA DE PROSPECÇÃO E AVALIAÇÃO DO POTENCIAL EÓLICO","CONVÊNIO","","2017","DPM SERVIÇOS DE AUTOMAÇÃO LTDA-ME","127.580,11","EXECUÇÃO","23/11/2016","22/11/2017"
"3259 - CV. EMBRAPII/IFCE/FCPC- ANEMOMETRO ULTRASSONICO ESPECIALIZADO PARA SISTEMA DE PROSPECÇÃO E AVALIAÇÃO DO POTENCIAL EÓLICO","CONVÊNIO","","2017","EMBRAPII/IFCE","163.718,80","EXECUÇÃO","23/11/2016","22/11/2017"
"3260 - CV.EMBRAPII/IFCE/FCPC - SISTEMA DE COMUNICAÇÃO DE DADOS PARA DIPOSITOVOS IOT","CONVÊNIO","","2017","EMBRAPII/IFCE","160.409,19","EXECUÇÃO","28/11/2016","27/11/2017"
"3261 - CV. W3SAT/IFCE/FCPC-CONTRAPARTIDA - SISTEMA DE COMUNICAÇÃO DE DADOS PARA DIPOSITOVOS IOT","CONVÊNIO","","2017","METALURGICA W3SAT LTDA","259.213,22","EXECUÇÃO","28/11/2016","27/11/2017"
"3262 - CT. UFC/FCPC-SELEÇÃO PARA AS CASAS DE CULTURA 2017.1","CONTRATO","P. 000.588/2017-89 – CONTRATO 07/2017","2017","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","302.984,00","EXECUÇÃO","30/01/2017","21/07/2017"